date,customer_id,income_date,income_type,income_amount
2024-12-31,16,2024-04-25,1,947.77
2024-12-31,16,2024-05-25,1,970.75
2024-12-31,16,2024-06-25,1,951.13
2024-12-31,16,2024-07-25,1,974.11
2024-12-31,16,2024-08-25,1,953.06
2024-12-31,16,2024-09-25,1,956.73
2024-12-31,16,2024-10-25,1,963.61
2024-12-31,16,2024-11-25,1,949.29
2024-12-31,17,2024-01-15,2,1093.65
2024-12-31,17,2024-02-15,2,1086.16
2024-12-31,17,2024-03-15,2,1089.43
2024-12-31,17,2024-04-15,2,1069.54
2024-12-31,17,2024-05-15,2,1062.82
2024-12-31,17,2024-06-15,2,1081.5
2024-12-31,17,2024-07-15,2,1063.15
2024-12-31,17,2024-08-15,2,1088.32
2024-12-31,17,2024-09-15,2,1072.11
2024-12-31,17,2024-10-15,2,1069.53
2024-12-31,17,2024-11-15,2,1090.38
2024-12-31,17,2024-12-15,2,1062.55
2024-12-31,18,2024-01-10,1,1225.73
2024-12-31,18,2024-02-10,1,1229.27
2024-12-31,18,2024-03-10,1,1221.68
2024-12-31,18,2024-04-10,1,1218.82
2024-12-31,18,2024-05-10,1,1246.81
2024-12-31,18,2024-06-10,1,1229.23
2024-12-31,18,2024-07-10,1,1213.47
2024-12-31,18,2024-08-10,1,1241.15
2024-12-31,18,2024-09-10,1,1237.74
2024-12-31,18,2024-10-10,1,1240.67
2024-12-31,18,2024-11-10,1,1219.73
2024-12-31,18,2024-12-10,1,1227.14
2024-12-31,19,2024-01-05,1,856.53
2024-12-31,19,2024-02-05,1,843.02
2024-12-31,19,2024-03-05,1,832.54
2024-12-31,19,2024-04-05,1,833.35
2024-12-31,19,2024-05-05,1,826.66
2024-12-31,19,2024-06-05,1,824.22
2024-12-31,19,2024-07-05,1,856.44
2024-12-31,19,2024-08-05,1,859
2024-12-31,19,2024-09-05,1,833.02
2024-12-31,19,2024-10-05,1,820.69
2024-12-31,19,2024-11-05,1,849.02
2024-12-31,19,2024-12-05,1,842.77
2024-12-31,20,2024-04-15,2,709.65
2024-12-31,20,2024-05-15,2,703.18
2024-12-31,20,2024-06-15,2,687.89
2024-12-31,20,2024-07-15,2,694.29
2024-12-31,20,2024-08-15,2,699.14
2024-12-31,20,2024-09-15,2,710.12
2024-12-31,20,2024-10-15,2,677.03
2024-12-31,20,2024-11-15,2,707.6
2024-12-31,20,2024-12-15,2,703.34
2024-12-31,21,2024-01-25,1,1096.73
2024-12-31,21,2024-02-25,1,1093.55
2024-12-31,21,2024-03-25,1,1078.14
2024-12-31,21,2024-04-25,1,1084.07
2024-12-31,21,2024-05-25,1,1093.86
2024-12-31,21,2024-06-25,1,1111.72
2024-12-31,21,2024-07-25,1,1102.63
2024-12-31,21,2024-08-25,1,1112.34
2024-12-31,21,2024-09-25,1,1101.92
2024-12-31,21,2024-10-25,1,1075.31
2024-12-31,21,2024-11-25,1,1104.79
2024-12-31,21,2024-12-25,1,1112.03
2024-12-31,22,2024-01-10,1,1561.37
2024-12-31,22,2024-02-10,1,1542.64
2024-12-31,22,2024-03-10,1,1537.48
2024-12-31,22,2024-04-10,1,1540.7
2024-12-31,22,2024-05-10,1,1540.11
2024-12-31,22,2024-06-10,1,1549
2024-12-31,22,2024-07-10,1,1561.24
2024-12-31,22,2024-08-10,1,1556.67
2024-12-31,22,2024-09-10,1,1549.8
2024-12-31,22,2024-10-10,1,1553.68
2024-12-31,22,2024-11-10,1,1551.67
2024-12-31,22,2024-12-10,1,1572.23
2024-12-31,24,2024-04-10,2,915.67
2024-12-31,24,2024-05-10,2,887.33
2024-12-31,24,2024-06-10,2,914.27
2024-12-31,24,2024-07-10,2,914.78
2024-12-31,24,2024-08-10,2,881.37
2024-12-31,24,2024-09-10,2,909.91
2024-12-31,24,2024-10-10,2,907.27
2024-12-31,24,2024-11-10,2,884.58
2024-12-31,24,2024-12-10,2,904.56
2024-12-31,25,2024-01-20,1,1157.15
2024-12-31,25,2024-02-20,1,1174.17
2024-12-31,25,2024-03-20,1,1144.06
2024-12-31,25,2024-04-20,1,1141.96
2024-12-31,25,2024-05-20,1,1136.18
2024-12-31,25,2024-06-20,1,1142.44
2024-12-31,25,2024-07-20,1,1145.11
2024-12-31,25,2024-08-20,1,1149.26
2024-12-31,25,2024-09-20,1,1155.46
2024-12-31,25,2024-10-20,1,1142.05
2024-12-31,25,2024-11-20,1,1154.47
2024-12-31,25,2024-12-20,1,1170.54
2024-12-31,26,2024-06-15,1,966.11
2024-12-31,26,2024-07-15,1,997.81
2024-12-31,26,2024-08-15,1,984.75
2024-12-31,26,2024-09-15,1,975.4
2024-12-31,26,2024-10-15,1,970.47
2024-12-31,26,2024-11-15,1,971.15
2024-12-31,26,2024-12-15,1,973.17
2024-12-31,27,2024-01-15,1,1539.67
2024-12-31,27,2024-02-15,1,1514.76
2024-12-31,27,2024-03-15,1,1548.73
2024-12-31,27,2024-04-15,1,1519.08
2024-12-31,27,2024-05-15,1,1515.67
2024-12-31,27,2024-06-15,1,1513.63
2024-12-31,27,2024-07-15,1,1516.78
2024-12-31,27,2024-08-15,1,1519.83
2024-12-31,27,2024-09-15,1,1527.94
2024-12-31,27,2024-10-15,1,1541.35
2024-12-31,27,2024-11-15,1,1530.2
2024-12-31,27,2024-12-15,1,1535.84
2024-12-31,28,2024-01-15,2,591.39
2024-12-31,28,2024-02-15,2,586.44
2024-12-31,28,2024-03-15,2,590.52
2024-12-31,28,2024-04-15,2,582.9
2024-12-31,28,2024-05-15,2,562.3
2024-12-31,28,2024-06-15,2,593.06
2024-12-31,28,2024-07-15,2,563.55
2024-12-31,28,2024-08-15,2,577.74
2024-12-31,28,2024-09-15,2,570.45
2024-12-31,28,2024-10-15,2,577.8
2024-12-31,28,2024-11-15,2,589.21
2024-12-31,28,2024-12-15,2,584.58
2024-12-31,29,2024-01-25,2,1128.16
2024-12-31,29,2024-02-25,2,1106.45
2024-12-31,29,2024-03-25,2,1115.75
2024-12-31,29,2024-04-25,2,1098.66
2024-12-31,29,2024-05-25,2,1116.5
2024-12-31,29,2024-06-25,2,1097.78
2024-12-31,29,2024-07-25,2,1133.64
2024-12-31,29,2024-08-25,2,1102.2
2024-12-31,29,2024-09-25,2,1125.39
2024-12-31,29,2024-10-25,2,1126.5
2024-12-31,29,2024-11-25,2,1116.25
2024-12-31,29,2024-12-25,2,1112.7
2024-12-31,30,2024-01-05,1,731.78
2024-12-31,30,2024-02-05,1,730.82
2024-12-31,30,2024-03-05,1,724.34
2024-12-31,30,2024-04-05,1,720.79
2024-12-31,30,2024-05-05,1,719.87
2024-12-31,30,2024-06-05,1,744.34
2024-12-31,30,2024-07-05,1,751.63
2024-12-31,30,2024-08-05,1,751.3
2024-12-31,30,2024-09-05,1,742.06
2024-12-31,30,2024-10-05,1,721.75
2024-12-31,30,2024-11-05,1,730.3
2024-12-31,30,2024-12-05,1,733.26
2024-12-31,32,2024-01-05,1,1214.54
2024-12-31,32,2024-02-05,1,1210.16
2024-12-31,32,2024-03-05,1,1231.19
2024-12-31,32,2024-04-05,1,1207.25
2024-12-31,32,2024-05-05,1,1206.7
2024-12-31,32,2024-06-05,1,1228.44
2024-12-31,32,2024-07-05,1,1203.12
2024-12-31,32,2024-08-05,1,1201.81
2024-12-31,32,2024-09-05,1,1200.61
2024-12-31,32,2024-10-05,1,1219.13
2024-12-31,32,2024-11-05,1,1206.29
2024-12-31,32,2024-12-05,1,1213.97
,33,2024-08-29,3,30.11
2024-12-31,34,2024-04-15,1,969.27
2024-12-31,34,2024-05-15,1,969.71
2024-12-31,34,2024-06-15,1,947.65
2024-12-31,34,2024-07-15,1,959.69
2024-12-31,34,2024-08-15,1,969.42
2024-12-31,34,2024-09-15,1,958.34
2024-12-31,34,2024-10-15,1,981.42
2024-12-31,34,2024-11-15,1,951.02
2024-12-31,34,2024-12-15,1,955.04
2024-12-31,35,2024-01-25,1,684.61
2024-12-31,35,2024-02-25,1,700.07
2024-12-31,35,2024-03-25,1,682.22
2024-12-31,35,2024-04-25,1,696.6
2024-12-31,35,2024-05-25,1,697.4
2024-12-31,35,2024-06-25,1,711.52
2024-12-31,35,2024-07-25,1,693.33
2024-12-31,35,2024-08-25,1,713.32
2024-12-31,35,2024-09-25,1,683.29
2024-12-31,35,2024-10-25,1,689.52
2024-12-31,35,2024-11-25,1,693.33
2024-12-31,35,2024-12-25,1,678.1
2024-12-31,36,2024-01-25,1,1193.15
2024-12-31,36,2024-02-25,1,1161.7
2024-12-31,36,2024-03-25,1,1188.67
2024-12-31,36,2024-04-25,1,1180.21
2024-12-31,36,2024-05-25,1,1190.96
2024-12-31,36,2024-06-25,1,1177.12
2024-12-31,36,2024-07-25,1,1183.76
2024-12-31,36,2024-08-25,1,1165.77
2024-12-31,36,2024-09-25,1,1173.63
2024-12-31,36,2024-10-25,1,1193.16
2024-12-31,36,2024-11-25,1,1188.9
2024-12-31,36,2024-12-25,1,1192.55
2024-12-31,37,2024-01-20,2,1053.02
2024-12-31,37,2024-02-20,2,1069.52
2024-12-31,37,2024-03-20,2,1083.06
2024-12-31,37,2024-04-20,2,1051.89
2024-12-31,37,2024-05-20,2,1048.64
2024-12-31,37,2024-06-20,2,1083.21
2024-12-31,37,2024-07-20,2,1050.83
2024-12-31,37,2024-08-20,2,1065.97
2024-12-31,37,2024-09-20,2,1076.46
2024-12-31,37,2024-10-20,2,1059.54
2024-12-31,37,2024-11-20,2,1055.22
2024-12-31,37,2024-12-20,2,1053.7
2024-12-31,38,2024-01-05,1,685.94
2024-12-31,38,2024-02-05,1,668.67
2024-12-31,38,2024-03-05,1,681.84
2024-12-31,38,2024-04-05,1,669.96
2024-12-31,38,2024-05-05,1,665.46
2024-12-31,38,2024-06-05,1,669.68
2024-12-31,38,2024-07-05,1,686.68
2024-12-31,38,2024-08-05,1,675.46
2024-12-31,38,2024-09-05,1,666.79
2024-12-31,38,2024-10-05,1,689.24
2024-12-31,38,2024-11-05,1,697.56
2024-12-31,38,2024-12-05,1,688.98
2024-12-31,40,2024-01-25,1,1139.86
2024-12-31,40,2024-02-25,1,1155.14
2024-12-31,40,2024-03-25,1,1133.27
2024-12-31,40,2024-04-25,1,1127.14
2024-12-31,40,2024-05-25,1,1125.64
2024-12-31,40,2024-06-25,1,1156.33
2024-12-31,40,2024-07-25,1,1119.67
2024-12-31,40,2024-08-25,1,1152.72
2024-12-31,40,2024-09-25,1,1144.94
2024-12-31,40,2024-10-25,1,1126.67
2024-12-31,40,2024-11-25,1,1119.71
2024-12-31,40,2024-12-25,1,1135.01
2024-12-31,41,2024-01-05,1,1207.83
2024-12-31,41,2024-02-05,1,1193.31
2024-12-31,41,2024-03-05,1,1189.7
2024-12-31,41,2024-04-05,1,1203.91
2024-12-31,41,2024-05-05,1,1185.48
2024-12-31,41,2024-06-05,1,1181.46
2024-12-31,41,2024-07-05,1,1196.55
2024-12-31,41,2024-08-05,1,1201.39
2024-12-31,41,2024-09-05,1,1200.56
2024-12-31,41,2024-10-05,1,1186.18
2024-12-31,41,2024-11-05,1,1215.66
2024-12-31,41,2024-12-05,1,1205.68
2024-12-31,44,2024-01-20,2,1078.52
2024-12-31,44,2024-02-20,2,1108.72
2024-12-31,44,2024-03-20,2,1089.68
2024-12-31,44,2024-04-20,2,1092.09
2024-12-31,44,2024-05-20,2,1078.89
2024-12-31,44,2024-06-20,2,1106.08
2024-12-31,44,2024-07-20,2,1083.94
2024-12-31,44,2024-08-20,2,1086.7
2024-12-31,44,2024-09-20,2,1093.15
2024-12-31,44,2024-10-20,2,1097.73
2024-12-31,44,2024-11-20,2,1107.7
2024-12-31,44,2024-12-20,2,1105.45
2024-12-31,45,2024-01-10,2,863.51
2024-12-31,45,2024-02-10,2,839.46
2024-12-31,46,2024-01-05,1,1202.64
2024-12-31,46,2024-02-05,1,1178.6
2024-12-31,46,2024-03-05,1,1171.41
2024-12-31,46,2024-04-05,1,1176.3
2024-12-31,46,2024-05-05,1,1196.33
2024-12-31,46,2024-06-05,1,1173.24
2024-12-31,46,2024-07-05,1,1175.13
2024-12-31,46,2024-08-05,1,1193.1
2024-12-31,46,2024-09-05,1,1170.68
2024-12-31,46,2024-10-05,1,1179.5
2024-12-31,46,2024-11-05,1,1197.66
2024-12-31,46,2024-12-05,1,1206.52
2024-12-31,47,2024-01-05,2,1208.37
2024-12-31,47,2024-02-05,2,1242.03
2024-12-31,47,2024-03-05,2,1203.81
2024-12-31,47,2024-04-05,2,1235.05
2024-12-31,47,2024-05-05,2,1224.3
2024-12-31,47,2024-06-05,2,1208.27
2024-12-31,47,2024-07-05,2,1229.96
2024-12-31,47,2024-08-05,2,1235.56
2024-12-31,47,2024-09-05,2,1227.79
2024-12-31,47,2024-10-05,2,1215.32
2024-12-31,47,2024-11-05,2,1214.95
2024-12-31,47,2024-12-05,2,1207.61
2024-12-31,48,2024-01-10,1,963.76
2024-12-31,48,2024-02-10,1,947.53
2024-12-31,48,2024-03-10,1,940.39
2024-12-31,48,2024-04-10,1,942.97
2024-12-31,48,2024-05-10,1,955.64
2024-12-31,48,2024-06-10,1,958.36
2024-12-31,49,2024-04-10,1,1174.33
2024-12-31,49,2024-05-10,1,1176.32
2024-12-31,49,2024-06-10,1,1184.75
2024-12-31,49,2024-07-10,1,1192.23
2024-12-31,49,2024-08-10,1,1168.83
2024-12-31,49,2024-09-10,1,1179.61
2024-12-31,49,2024-10-10,1,1187.57
2024-12-31,49,2024-11-10,1,1171.25
2024-12-31,49,2024-12-10,1,1195.48
2024-12-31,50,2024-01-25,2,857.41
2024-12-31,50,2024-02-25,2,890.66
2024-12-31,50,2024-03-25,2,851.66
2024-12-31,50,2024-04-25,2,854.89
2024-12-31,50,2024-05-25,2,883.57
2024-12-31,50,2024-06-25,2,878.38
2024-12-31,50,2024-07-25,2,888.62
2024-12-31,50,2024-08-25,2,865.21
2024-12-31,50,2024-09-25,2,856.16
2024-12-31,50,2024-10-25,2,867.92
2024-12-31,50,2024-11-25,2,879.72
2024-12-31,50,2024-12-25,2,884.18
2024-12-31,51,2024-01-15,2,884.34
2024-12-31,51,2024-02-15,2,868.35
2024-12-31,51,2024-03-15,2,867.26
2024-12-31,51,2024-04-15,2,870.67
2024-12-31,51,2024-05-15,2,876.32
2024-12-31,51,2024-06-15,2,880.33
2024-12-31,51,2024-07-15,2,882.76
2024-12-31,51,2024-08-15,2,878.89
2024-12-31,51,2024-09-15,2,879.86
2024-12-31,51,2024-10-15,2,892.18
2024-12-31,51,2024-11-15,2,902.82
2024-12-31,51,2024-12-15,2,889.62
2024-12-31,52,2024-01-25,1,1226.67
2024-12-31,52,2024-02-25,1,1244.36
2024-12-31,52,2024-03-25,1,1231.71
2024-12-31,52,2024-04-25,1,1215.56
2024-12-31,52,2024-05-25,1,1215.47
2024-12-31,52,2024-06-25,1,1248.18
2024-12-31,52,2024-07-25,1,1249.43
2024-12-31,52,2024-08-25,1,1218.66
2024-12-31,52,2024-09-25,1,1241.53
2024-12-31,52,2024-10-25,1,1232.09
2024-12-31,52,2024-11-25,1,1250
2024-12-31,52,2024-12-25,1,1215.5
2024-12-31,53,2024-10-10,2,1093.59
2024-12-31,53,2024-11-10,2,1103.29
2024-12-31,53,2024-12-10,2,1092.56
2024-12-31,54,2024-01-25,1,1273.03
2024-12-31,54,2024-02-25,1,1257.91
2024-12-31,55,2024-01-25,1,1145.63
2024-12-31,55,2024-02-25,1,1173.16
2024-12-31,55,2024-03-25,1,1159.03
2024-12-31,55,2024-04-25,1,1155.4
2024-12-31,55,2024-05-25,1,1165.81
2024-12-31,55,2024-06-25,1,1171.02
2024-12-31,55,2024-07-25,1,1176.35
2024-12-31,55,2024-08-25,1,1159.93
2024-12-31,55,2024-09-25,1,1157.05
2024-12-31,55,2024-10-25,1,1157.74
2024-12-31,55,2024-11-25,1,1144.99
2024-12-31,55,2024-12-25,1,1175.88
2024-12-31,56,2024-01-25,1,1032.62
2024-12-31,56,2024-02-25,1,1023.77
2024-12-31,56,2024-03-25,1,1022.67
2024-12-31,56,2024-04-25,1,1029.12
2024-12-31,56,2024-05-25,1,1005.96
2024-12-31,56,2024-06-25,1,1007.68
2024-12-31,56,2024-07-25,1,1038.73
2024-12-31,56,2024-08-25,1,1006.93
2024-12-31,56,2024-09-25,1,1029.82
2024-12-31,57,2024-01-25,1,1112.28
2024-12-31,57,2024-02-25,1,1113.88
2024-12-31,57,2024-03-25,1,1117.74
2024-12-31,57,2024-04-25,1,1124.33
2024-12-31,57,2024-05-25,1,1105.81
2024-12-31,57,2024-06-25,1,1127.87
2024-12-31,57,2024-07-25,1,1126.3
2024-12-31,57,2024-08-25,1,1112.67
2024-12-31,57,2024-09-25,1,1133.24
2024-12-31,57,2024-10-25,1,1109.48
2024-12-31,57,2024-11-25,1,1131.88
2024-12-31,57,2024-12-25,1,1118.01
2024-12-31,58,2024-01-10,1,1050.76
2024-12-31,58,2024-02-10,1,1033.51
2024-12-31,58,2024-03-10,1,1032.02
2024-12-31,58,2024-04-10,1,1054.72
2024-12-31,58,2024-05-10,1,1029.84
2024-12-31,58,2024-06-10,1,1047.34
2024-12-31,58,2024-07-10,1,1060.29
2024-12-31,58,2024-08-10,1,1061.02
2024-12-31,58,2024-09-10,1,1057.32
2024-12-31,59,2024-01-20,1,907.66
2024-12-31,59,2024-02-20,1,887.33
2024-12-31,59,2024-03-20,1,894.7
2024-12-31,59,2024-04-20,1,905
2024-12-31,59,2024-05-20,1,882.64
2024-12-31,59,2024-06-20,1,907.89
2024-12-31,59,2024-07-20,1,874.08
2024-12-31,59,2024-08-20,1,908.52
2024-12-31,59,2024-09-20,1,899.1
2024-12-31,59,2024-10-20,1,885.25
2024-12-31,59,2024-11-20,1,894.76
2024-12-31,59,2024-12-20,1,874.01
2024-12-31,60,2024-01-10,1,773.89
2024-12-31,60,2024-02-10,1,796.78
2024-12-31,60,2024-03-10,1,798.41
2024-12-31,60,2024-04-10,1,775.25
2024-12-31,60,2024-05-10,1,778.61
2024-12-31,60,2024-06-10,1,789.2
2024-12-31,60,2024-07-10,1,791.98
2024-12-31,60,2024-08-10,1,790.78
2024-12-31,60,2024-09-10,1,785.06
2024-12-31,60,2024-10-10,1,777.56
2024-12-31,60,2024-11-10,1,793.55
2024-12-31,60,2024-12-10,1,800.1
2024-12-31,61,2024-01-10,1,798.23
2024-12-31,61,2024-02-10,1,799.15
2024-12-31,61,2024-03-10,1,798.18
2024-12-31,61,2024-04-10,1,808.46
2024-12-31,62,2024-01-05,2,634.17
2024-12-31,62,2024-02-05,2,634.19
2024-12-31,62,2024-03-05,2,662.57
2024-12-31,62,2024-04-05,2,629.9
2024-12-31,62,2024-05-05,2,647.56
2024-12-31,62,2024-06-05,2,653.65
2024-12-31,62,2024-07-05,2,650.55
2024-12-31,62,2024-08-05,2,633.78
2024-12-31,62,2024-09-05,2,638.51
2024-12-31,62,2024-10-05,2,660.19
2024-12-31,62,2024-11-05,2,633.25
2024-12-31,62,2024-12-05,2,643.24
2024-12-31,64,2024-01-10,2,890.51
2024-12-31,64,2024-02-10,2,874.4
2024-12-31,64,2024-03-10,2,873.17
2024-12-31,64,2024-04-10,2,863.61
2024-12-31,64,2024-05-10,2,870.55
2024-12-31,64,2024-06-10,2,892.48
2024-12-31,64,2024-07-10,2,884.23
2024-12-31,64,2024-08-10,2,863.94
2024-12-31,64,2024-09-10,2,865.49
2024-12-31,64,2024-10-10,2,873.8
2024-12-31,64,2024-11-10,2,882.65
2024-12-31,64,2024-12-10,2,885.78
2024-12-31,65,2024-01-25,1,1281.53
2024-12-31,65,2024-02-25,1,1261.28
2024-12-31,65,2024-03-25,1,1267.25
2024-12-31,65,2024-04-25,1,1263.09
2024-12-31,65,2024-05-25,1,1278.01
2024-12-31,65,2024-06-25,1,1295.34
2024-12-31,65,2024-07-25,1,1295.74
2024-12-31,65,2024-08-25,1,1277.15
2024-12-31,65,2024-09-25,1,1276.71
2024-12-31,65,2024-10-25,1,1261.87
2024-12-31,65,2024-11-25,1,1279.1
2024-12-31,65,2024-12-25,1,1279.27
2024-12-31,66,2024-01-05,1,992.23
2024-12-31,66,2024-02-05,1,964.17
2024-12-31,66,2024-03-05,1,984.79
2024-12-31,66,2024-04-05,1,988.18
2024-12-31,66,2024-05-05,1,989.38
2024-12-31,67,2024-01-20,1,863.14
2024-12-31,67,2024-02-20,1,862.44
2024-12-31,67,2024-03-20,1,857.98
2024-12-31,67,2024-04-20,1,886.79
2024-12-31,67,2024-05-20,1,878.49
2024-12-31,67,2024-06-20,1,874.78
2024-12-31,67,2024-07-20,1,862.19
2024-12-31,67,2024-08-20,1,884.97
2024-12-31,67,2024-09-20,1,866.9
2024-12-31,67,2024-10-20,1,891.38
2024-12-31,67,2024-11-20,1,857.63
2024-12-31,67,2024-12-20,1,876.01
2024-12-31,69,2024-01-05,1,839.09
2024-12-31,69,2024-02-05,1,836.65
2024-12-31,69,2024-03-05,1,849.36
2024-12-31,69,2024-04-05,1,845.35
2024-12-31,69,2024-05-05,1,841.78
2024-12-31,69,2024-06-05,1,839.5
2024-12-31,69,2024-07-05,1,864.39
2024-12-31,69,2024-08-05,1,854.22
2024-12-31,69,2024-09-05,1,843.48
2024-12-31,69,2024-10-05,1,864.54
2024-12-31,69,2024-11-05,1,866.93
2024-12-31,69,2024-12-05,1,857.5
2024-12-31,70,2024-01-20,2,1062.71
2024-12-31,70,2024-02-20,2,1049.65
2024-12-31,70,2024-03-20,2,1043.53
2024-12-31,70,2024-04-20,2,1051.53
2024-12-31,70,2024-05-20,2,1061.8
2024-12-31,70,2024-06-20,2,1069.81
2024-12-31,70,2024-07-20,2,1039.12
2024-12-31,70,2024-08-20,2,1051.44
2024-12-31,70,2024-09-20,2,1051.09
2024-12-31,70,2024-10-20,2,1061.42
2024-12-31,70,2024-11-20,2,1062.2
2024-12-31,70,2024-12-20,2,1073.47
2024-12-31,71,2024-01-25,1,768.57
2024-12-31,71,2024-02-25,1,793.1
2024-12-31,71,2024-03-25,1,804.57
2024-12-31,71,2024-04-25,1,784.34
2024-12-31,71,2024-05-25,1,775.09
2024-12-31,71,2024-06-25,1,770.16
2024-12-31,71,2024-07-25,1,774.1
2024-12-31,71,2024-08-25,1,795.27
2024-12-31,71,2024-09-25,1,780.73
2024-12-31,71,2024-10-25,1,794.6
2024-12-31,71,2024-11-25,1,768.31
2024-12-31,71,2024-12-25,1,779.11
2024-12-31,72,2024-01-10,1,752.23
2024-12-31,72,2024-02-10,1,731.01
2024-12-31,72,2024-03-10,1,759.82
2024-12-31,72,2024-04-10,1,758.55
2024-12-31,72,2024-05-10,1,748.32
2024-12-31,72,2024-06-10,1,757.85
2024-12-31,72,2024-07-10,1,736.68
2024-12-31,72,2024-08-10,1,739.44
2024-12-31,72,2024-09-10,1,733.58
2024-12-31,72,2024-10-10,1,741.07
2024-12-31,72,2024-11-10,1,754.15
2024-12-31,72,2024-12-10,1,740.26
2024-12-31,73,2024-01-05,1,954.97
2024-12-31,73,2024-02-05,1,941
2024-12-31,73,2024-03-05,1,952.1
2024-12-31,73,2024-04-05,1,959.51
2024-12-31,73,2024-05-05,1,972.63
2024-12-31,73,2024-06-05,1,955.22
2024-12-31,73,2024-07-05,1,938.99
2024-12-31,73,2024-08-05,1,964.09
2024-12-31,73,2024-09-05,1,973.02
2024-12-31,73,2024-10-05,1,975.26
2024-12-31,73,2024-11-05,1,946.44
2024-12-31,73,2024-12-05,1,965.55
2024-12-31,74,2024-01-10,1,1106.34
2024-12-31,74,2024-02-10,1,1080.4
2024-12-31,74,2024-03-10,1,1091.82
2024-12-31,74,2024-04-10,1,1103.99
2024-12-31,74,2024-05-10,1,1090.29
2024-12-31,74,2024-06-10,1,1091.51
2024-12-31,74,2024-07-10,1,1084.2
2024-12-31,74,2024-08-10,1,1105.41
2024-12-31,74,2024-09-10,1,1084.57
2024-12-31,74,2024-10-10,1,1096.17
2024-12-31,74,2024-11-10,1,1108.76
2024-12-31,74,2024-12-10,1,1096.43
2024-12-31,75,2024-01-15,2,677.01
2024-12-31,75,2024-02-15,2,677.61
2024-12-31,75,2024-03-15,2,672.36
